"","Country","Year","KEI Index"
"1","Albania",2012,4.53
"2","Algeria",2012,3.79
"3","Angola", 2012,1.08
"4","Argentina", 2012,5.43
"5","Armenia",2012,5.08
"6","Australia",2012,8.88
"7","Austria",2012,8.61
"8","Azerbaijan",2012,4.56
"9","Bangladesh",2012,1.49
"10","Bahrain",2012,6.9
"11","Barbados",2012,7.18
"12","Belarus",2012,5.59
"13","Belgium",2012,8.71
"14","Benin",2012,1.88
"15","Bolivia",2012,3.68
"16","Bosnia Herzegovina",2012,5.12
"17","Botswana",2012,4.31
"18","Brazil",2012,5.58
"19","Bulgaria",2012,6.8
"20","Burkina Faso",2012,1.91
"21","Cambodia",2012,1.71
"22","Cameroon",2012,1.69
"23","Canada",2012,8.92
"24","Cape Verde",2012,3.59
"25","Colombia",2012,4.94
"26","Chile",2012,7.21
"27","China",2012,4.37
"28","Costa Rica",2012,5.93
"29","Cote D'Ivoire",2012,1.54
"30","Croatia",2012,7.29
"31","Cuba",2012,4.19
"32","Cyprus",2012,7.56
"33","Czech Republic",2012,8.14
"34","Denmark",2012,9.16
"35","Djibouti",2012,1.34
"36","Dominica",2012,5.56
"37","Dominican Republic",2012,4.05
"38","Ecuador",2012,3.72
"39","Egypt",2012,3.78
"40","El Salvador",2012,4.17
"41","Eritrea",2012,1.14
"42","Estonia",2012,8.4
"43","Ethiopia",2012,1.27
"44","Fiji",2012,3.94
"45","Finland",2012,9.33
"46","France",2012,8.21
"47","Georgia",2012,5.19
"48","Germany",2012,8.9
"49","Ghana",2012,2.72
"50","Guinea",2012,1.22
"51","Greece",2012,7.51
"52","Guatemala",2012,3.7
"53","Guyana",2012,4.67
"54","Haiti",2012,NA
"55","Honduras",2012,3.08
"56","Hong Kong",2012,8.52
"57","Hungary",2012,8.02
"58","Iceland",2012,8.62
"59","India",2012,3.06
"60","Indonesia",2012,3.11
"61","Iran",2012,3.91
"62","Ireland",2012,8.86
"63","Israel",2012,8.14
"64","Italy",2012,7.89
"65","Jamaica",2012,5.65
"66","Japan",2012,8.28
"67","Jordan",2012,4.95
"68","Kazakhstan",2012,5.04
"69","Kenya",2012,2.88
"70","Korea",2012,7.97
"71","Kuwait",2012,5.33
"72","Kyrgyz Rep.",2012,3.82
"73","Lao PDR",2012,1.75
"74","Latvia",2012,7.41
"75","Lebanon",2012,4.56
"76","Lesotho",2012,1.95
"77","Lithuania",2012,7.8
"78","Luxembourg",2012,8.37
"79","Macedonia",2012,5.65
"80","Madgascar",2012,1.77
"81","Malawi",2012,1.92
"82","Malaysia",2012,6.1
"83","Mali",2012,NA
"84","Malta",2012,7.88
"85","Mauritius",2012,5.52
"86","Mauritania",2012,1.65
"87","Mexico",2012,5.07
"88","Nepal",2012,1.58
"89","Mongolia",2012,4.42
"90","Moldova",2012,4.92
"91","Morocco",2012,3.61
"92","Mozambique",2012,1.76
"93","Mynamar",2012,0.96
"94","Namibia",2012,4.1
"95","Netherlands",2012,9.11
"96","New Zealand",2012,8.97
"97","Nicaragua",2012,2.61
"98","Nigeria",2012,2.2
"99","Norway",2012,9.11
"100","Oman",2012,6.14
"101","Pakistan",2012,2.45
"102","Panama",2012,5.3
"103","Paraguay",2012,3.95
"104","Peru",2012,5.01
"105","Philippines",2012,3.94
"106","Poland",2012,7.41
"107","Portugal",2012,7.61
"108","Qatar",2012,5.84
"109","Romania",2012,6.82
"110","Russian Federation",2012,5.78
"111","Rwanda",2012,1.83
"112","Saudi Arabia",2012,5.96
"113","Senegal",2012,2.7
"114","Serbia",2012,6.02
"115","Sierra Leone",2012,0.97
"116","Singapore",2012,8.26
"117","Slovak Republic",2012,7.64
"118","Slovenia",2012,8.01
"119","South Africa",2012,5.21
"120","Spain",2012,8.35
"121","Sri Lanka",2012,3.63
"122","Sudan",2012,1.48
"123","Swaziland",2012,3.13
"124","Sweden",2012,9.43
"125","Switzerland",2012,8.87
"126","Syrian Arab Republic",2012,2.77
"127","Taiwan",2012,NA
"128","Tajikistan",2012,3.13
"129","Tanzania",2012,1.79
"130","Thailand",2012,5.21
"131","Trinidad and Tobago",2012,5.91
"132","Turkey",2012,5.16
"133","Tunisia",2012,4.56
"134","Uganda",2012,2.37
"135","Ukraine",2012,5.73
"136","United Arab Emirates",2012,6.94
"137","United Kingdom",2012,8.76
"138","United States",2012,8.77
"139","Uruguay",2012,6.39
"140","Uzbekistan",2012,3.14
"141","Venezuela",2012,4.2
"142","Vietnam",2012,3.4
"143","Yemen",2012,1.92
"144","Zambia",2012,2.56
"145","Zimbabwe",2012,2.17
"146","Albania",2009,NA
"147","Algeria",2009,NA
"148","Angola",2009,NA
"149","Argentina",2009,NA
"150","Armenia",2009,NA
"151","Australia",2009,8.97
"152","Austria",2009,8.91
"153","Azerbaijan",2009,NA
"154","Bangladesh",2009,NA
"155","Bahrain",2009,NA
"156","Barbados",2009,NA
"157","Belarus",2009,NA
"158","Belgium",2009,8.8
"159","Benin",2009,NA
"160","Bolivia",2009,NA
"161","Bosnia Herzegovina",2009,NA
"162","Botswana",2009,NA
"163","Brazil",2009,NA
"164","Bulgaria",2009,6.99
"165","Burkina Faso",2009,NA
"166","Cambodia",2009,NA
"167","Cameroon",2009,NA
"168","Canada",2009,9.17
"169","Cape Verde",2009,NA
"170","Colombia",2009,NA
"171","Chile",2009,NA
"172","China",2009,NA
"173","Costa Rica",2009,NA
"174","Cote D'Ivoire",2009,NA
"175","Croatia",2009,NA
"176","Cuba",2009,NA
"177","Cyprus",2009,7.5
"178","Czech Republic",2009,7.97
"179","Denmark",2009,9.52
"180","Djibouti",2009,NA
"181","Dominica",2009,NA
"182","Dominican Republic",2009,NA
"183","Ecuador",2009,NA
"184","Egypt",2009,NA
"185","El Salvador",2009,NA
"186","Eritrea",2009,NA
"187","Estonia",2009,8.42
"188","Ethiopia",2009,NA
"189","Fiji",2009,NA
"190","Finland",2009,9.37
"191","France",2009,8.4
"192","Georgia",2009,NA
"193","Germany",2009,8.96
"194","Ghana",2009,NA
"195","Guinea",2009,NA
"196","Greece",2009,7.39
"197","Guatemala",2009,NA
"198","Guyana",2009,NA
"199","Haiti",2009,NA
"200","Honduras",2009,NA
"201","Hong Kong",2009,NA
"202","Hungary",2009,8
"203","Iceland",2009,NA
"204","India",2009,NA
"205","Indonesia",2009,NA
"206","Iran",2009,NA
"207","Ireland",2009,9.05
"208","Israel",2009,NA
"209","Italy",2009,7.79
"210","Jamaica",2009,NA
"211","Japan",2009,8.42
"212","Jordan",2009,NA
"213","Kazakhstan",2009,NA
"214","Kenya",2009,NA
"215","Korea",2009,NA
"216","Kuwait",2009,NA
"217","Kyrgyz Rep.",2009,NA
"218","Lao PDR",2009,NA
"219","Latvia",2009,7.65
"220","Lebanon",2009,NA
"221","Lesotho",2009,NA
"222","Lithuania",2009,7.77
"223","Luxembourg",2009,8.64
"224","Macedonia",2009,NA
"225","Madgascar",2009,NA
"226","Malawi",2009,NA
"227","Malaysia",2009,NA
"228","Mali",2009,NA
"229","Malta",2009,7.58
"230","Mauritius",2009,NA
"231","Mauritania",2009,NA
"232","Mexico",2009,NA
"233","Nepal",2009,NA
"234","Mongolia",2009,NA
"235","Moldova",2009,NA
"236","Morocco",2009,NA
"237","Mozambique",2009,NA
"238","Mynamar",2009,NA
"239","Namibia",2009,NA
"240","Netherlands",2009,9.35
"241","New Zealand",2009,8.92
"242","Nicaragua",2009,NA
"243","Nigeria",2009,NA
"244","Norway",2009,9.31
"245","Oman",2009,NA
"246","Pakistan",2009,NA
"247","Panama",2009,NA
"248","Paraguay",2009,NA
"249","Peru",2009,NA
"250","Philippines",2009,NA
"251","Poland",2009,7.41
"252","Portugal",2009,7.61
"253","Qatar",2009,NA
"254","Romania",2009,6.43
"255","Russian Federation",2009,NA
"256","Rwanda",2009,NA
"257","Saudi Arabia",2009,NA
"258","Senegal",2009,NA
"259","Serbia",2009,NA
"260","Sierra Leone",2009,NA
"261","Singapore",2009,NA
"262","Slovak Republic",2009,7.47
"263","Slovenia",2009,8.15
"264","South Africa",2009,NA
"265","Spain",2009,8.28
"266","Sri Lanka",2009,NA
"267","Sudan",2009,NA
"268","Swaziland",2009,NA
"269","Sweden",2009,9.51
"270","Switzerland",2009,9.01
"271","Syrian Arab Republic",2009,NA
"272","Taiwan",2009,NA
"273","Tajikistan",2009,NA
"274","Tanzania",2009,NA
"275","Thailand",2009,NA
"276","Trinidad and Tobago",2009,NA
"277","Turkey",2009,5.55
"278","Tunisia",2009,NA
"279","Uganda",2009,NA
"280","Ukraine",2009,NA
"281","United Arab Emirates",2009,NA
"282","United Kingdom",2009,9.1
"283","United States",2009,9.02
"284","Uruguay",2009,NA
"285","Uzbekistan",2009,NA
"286","Venezuela",2009,NA
"287","Vietnam",2009,NA
"288","Yemen",2009,NA
"289","Zambia",2009,NA
"290","Zimbabwe",2009,NA
"291","Albania",2008,4.04
"292","Algeria",2008,3.25
"293","Angola",2008,1.7
"294","Argentina",2008,5.49
"295","Armenia",2008,5.51
"296","Australia",2008,9.05
"297","Austria",2008,8.9
"298","Azerbaijan",2008,3.81
"299","Bangladesh",2008,1.49
"300","Bahrain",2008,6.02
"301","Barbados",2008,7.25
"302","Belarus",2008,4.93
"303","Belgium",2008,8.75
"304","Benin",2008,2.1
"305","Bolivia",2008,3.42
"306","Bosnia Herzegovina",2008,NA
"307","Botswana",2008,3.96
"308","Brazil",2008,5.57
"309","Bulgaria",2008,6.8
"310","Burkina Faso",2008,1.64
"311","Cambodia",2008,NA
"312","Cameroon",2008,1.69
"313","Canada",2008,9.21
"314","Cape Verde",2008,3.24
"315","Colombia",2008,4.42
"316","Chile",2008,6.92
"317","China",2008,4.35
"318","Costa Rica",2008,6.06
"319","Cote D'Ivoire",2008,NA
"320","Croatia",2008,7.19
"321","Cuba",2008,NA
"322","Cyprus",2008,7.55
"323","Czech Republic",2008,7.83
"324","Denmark",2008,9.58
"325","Djibouti",2008,1.15
"326","Dominica",2008,6.07
"327","Dominican Republic",2008,3.92
"328","Ecuador",2008,3.46
"329","Egypt",2008,4.03
"330","El Salvador",2008,3.91
"331","Eritrea",2008,1.07
"332","Estonia",2008,8.34
"333","Ethiopia",2008,1.18
"334","Fiji",2008,NA
"335","Finland",2008,9.37
"336","France",2008,8.47
"337","Georgia",2008,4.69
"338","Germany",2008,9.01
"339","Ghana",2008,2.5
"340","Guinea",2008,NA
"341","Greece",2008,7.38
"342","Guatemala",2008,3.11
"343","Guyana",2008,4.31
"344","Haiti",2008,NA
"345","Honduras",2008,3.21
"346","Hong Kong",2008,8.2
"347","Hungary",2008,7.85
"348","Iceland",2008,8.88
"349","India",2008,3.12
"350","Indonesia",2008,3.23
"351","Iran",2008,3.39
"352","Ireland",2008,8.9
"353","Israel",2008,8.22
"354","Italy",2008,7.87
"355","Jamaica",2008,5.04
"356","Japan",2008,8.56
"357","Jordan",2008,5.53
"358","Kazakhstan",2008,5.01
"359","Kenya",2008,2.82
"360","Korea",2008,7.68
"361","Kuwait",2008,6.01
"362","Kyrgyz Rep.",2008,3.74
"363","Lao PDR",2008,1.53
"364","Latvia",2008,7.64
"365","Lebanon",2008,4.86
"366","Lesotho",2008,2.15
"367","Lithuania",2008,7.7
"368","Luxembourg",2008,8.65
"369","Macedonia",2008,5.33
"370","Madgascar",2008,2.37
"371","Malawi",2008,1.55
"372","Malaysia",2008,6.06
"373","Mali",2008,1.78
"374","Malta",2008,NA
"375","Mauritius",2008,5.18
"376","Mauritania",2008,2.35
"377","Mexico",2008,5.45
"378","Nepal",2008,1.61
"379","Mongolia",2008,4.5
"380","Moldova",2008,5.04
"381","Morocco",2008,3.45
"382","Mozambique",2008,1.71
"383","Mynamar",2008,1.48
"384","Namibia",2008,4.19
"385","Netherlands",2008,9.32
"386","New Zealand",2008,8.87
"387","Nicaragua",2008,2.87
"388","Nigeria",2008,2.04
"389","Norway",2008,9.29
"390","Oman",2008,5.37
"391","Pakistan",2008,2.24
"392","Panama",2008,4.69
"393","Paraguay",2008,3.62
"394","Peru",2008,4.64
"395","Philippines",2008,4.25
"396","Poland",2008,7.38
"397","Portugal",2008,7.52
"398","Qatar",2008,6.15
"399","Romania",2008,6.37
"400","Russian Federation",2008,5.58
"401","Rwanda",2008,1.34
"402","Saudi Arabia",2008,5.15
"403","Senegal",2008,2.63
"404","Serbia",2008,NA
"405","Sierra Leone",2008,0.91
"406","Singapore",2008,8.24
"407","Slovak Republic",2008,7.33
"408","Slovenia",2008,8.27
"409","South Africa",2008,5.55
"410","Spain",2008,8.24
"411","Sri Lanka",2008,4.16
"412","Sudan",2008,NA
"413","Swaziland",2008,2.93
"414","Sweden",2008,9.56
"415","Switzerland",2008,9.15
